Quantity,UnitPrice,Discount,ShippingCost,SalesChannel,PaymentMethod,Cluster
20,28.4,0.49,28.77,Online,Credit Card,1
40,33.55,0.28,10.63,In-store,Bank Transfer,3
47,16.089999999999996,0.42,6.17,In-store,Credit Card,2
46,76.94,0.04000000000000001,25.4,In-store,Credit Card,2
2,65.92,0.46,13.12,Online,Credit Card,1
43,21.130000000000003,0.07,12.09,In-store,Bank Transfer,3
39,16.36,0.01999999999999999,24.95,In-store,paypall,0
21,49.16,0.36,25.76,In-store,Credit Card,2
14,85.66,0.01999999999999999,7.49,Online,Bank Transfer,4
30,38.2,0.42,19.99,In-store,Bank Transfer,3
42,63.34,0.42,10.89,Online,paypall,5
46,23.1,0.0,27.63,In-store,paypall,0
17,90.61,0.18,14.91,Online,paypall,5
33,81.72,0.29,15.35,In-store,Bank Transfer,3
11,83.38,0.35,21.57,Online,Credit Card,1
42,2.0700000000000003,0.14,8.46,Online,Credit Card,1
48,49.42,0.15,14.8,In-store,Bank Transfer,3
8,84.97,0.42,5.050000000000001,In-store,Credit Card,2
4,18.03,0.12,19.85,Online,paypall,5
39,72.72,0.10999999999999999,24.11,In-store,Credit Card,2
42,25.56,0.27,10.56,In-store,Bank Transfer,3
11,83.63,0.35,10.51,Online,Credit Card,1
21,32.07,0.010000000000000009,9.79,In-store,Credit Card,2
4,5.049999999999997,0.1,13.41,Online,paypall,5
47,5.68,0.49,28.5,In-store,paypall,0
13,89.57,0.47,8.81,Online,Credit Card,1
31,74.85,0.010000000000000009,9.29,Online,Credit Card,1
4,97.17,0.38,27.23,Online,Credit Card,1
16,91.5,0.33,10.81,In-store,paypall,0
40,71.99,0.2,8.09,Online,Bank Transfer,4
49,2.229999999999997,0.36,14.89,In-store,Credit Card,2
42,19.62,0.28,24.27,In-store,paypall,0
22,22.65,0.32,15.26,In-store,Credit Card,2
30,28.71,0.1,18.43,Online,Credit Card,1
16,27.83,0.24,16.59,In-store,Bank Transfer,3
4,19.9,0.17,5.99,In-store,paypall,0
25,49.1,0.46,25.2,In-store,Bank Transfer,3
39,96.14,0.1,25.18,Online,Credit Card,1
42,5.560000000000002,0.29,7.77,In-store,Bank Transfer,3
45,17.82,0.42,26.82,Online,paypall,5
48,37.1,0.16,28.1,In-store,Bank Transfer,3
23,61.35,0.22,28.16,Online,Credit Card,1
46,14.32,0.19,11.89,In-store,paypall,0
45,56.42,0.42,25.27,Online,Bank Transfer,4
2,14.199999999999996,0.46,6.51,Online,Bank Transfer,4
32,21.189999999999998,0.47,16.79,Online,Bank Transfer,4
3,2.729999999999997,0.09,17.4,In-store,Credit Card,2
8,26.85,0.12,17.41,In-store,Bank Transfer,3
39,61.55,0.27,26.19,In-store,Bank Transfer,3
4,25.53,0.12,17.47,Online,Credit Card,1
27,92.74,0.45,26.28,In-store,Bank Transfer,3
36,5.479999999999997,0.07,6.800000000000001,Online,Bank Transfer,4
48,49.92,0.15,5.24,In-store,paypall,0
48,33.36,0.41,24.94,In-store,paypall,0
8,37.21,0.33,10.93,Online,Credit Card,1
8,11.0,0.26,22.73,In-store,Credit Card,2
14,39.81,0.12,22.6,Online,Bank Transfer,4
49,73.62,0.45,29.87,Online,Credit Card,1
38,68.71,0.28,23.26,Online,Bank Transfer,4
3,91.96,0.49,14.46,In-store,Credit Card,2
45,6.880000000000003,0.38,23.49,Online,Bank Transfer,4
10,90.41,0.44,20.95,Online,paypall,5
33,45.68,0.48,13.9,In-store,paypall,0
18,42.63,0.3,19.69,In-store,Credit Card,2
38,43.62,0.28,23.87,Online,Credit Card,1
27,69.79,0.31,22.87,In-store,Bank Transfer,3
30,45.35,0.24,26.7,In-store,Credit Card,2
10,97.8,0.27,9.03,In-store,Credit Card,2
40,68.35,0.2,10.7,In-store,Credit Card,2
40,60.98,0.33,22.52,In-store,Credit Card,2
14,16.589999999999996,0.10999999999999999,15.23,In-store,Bank Transfer,3
47,24.55,0.35,9.579999999999998,In-store,paypall,0
7,68.38,0.14,16.63,Online,Credit Card,1
11,38.46,0.06,11.19,Online,Credit Card,1
31,76.92,0.31,27.18,Online,Bank Transfer,4
26,43.43,0.4,14.71,In-store,Credit Card,2
22,87.31,0.19,14.6,Online,Credit Card,1
6,60.02,0.27,15.49,Online,Bank Transfer,4
20,84.59,0.49,22.17,Online,paypall,5
43,88.21,0.19,15.59,In-store,Credit Card,2
15,33.59,0.04999999999999999,10.87,Online,Credit Card,1
29,39.91,0.1,10.42,In-store,Bank Transfer,3
31,72.68,0.47,25.65,Online,Bank Transfer,4
10,13.14,0.18,15.02,In-store,paypall,0
14,15.270000000000003,0.36,13.18,In-store,Credit Card,2
8,82.35,0.25,28.06,Online,Credit Card,1
24,2.270000000000003,0.26,20.52,In-store,Credit Card,2
37,4.719999999999999,0.07,27.76,In-store,paypall,0
28,57.98,0.09,24.25,Online,Credit Card,1
19,96.33,0.14,26.75,Online,paypall,5
29,93.34,0.1,27.69,In-store,Credit Card,2
20,44.66,0.33,24.92,Online,Credit Card,1
15,80.11,0.26,29.05,In-store,paypall,0
40,69.95,0.35,20.23,Online,Credit Card,1
36,80.56,0.13,19.72,Online,Bank Transfer,4
32,25.03,0.04000000000000001,14.01,Online,Bank Transfer,4
20,33.33,0.43,25.47,In-store,paypall,0
21,77.91,0.34,18.12,Online,Credit Card,1
36,28.07,0.45,8.76,Online,Bank Transfer,4
28,76.03,0.13,14.05,In-store,Bank Transfer,3
38,75.52,0.29,25.86,Online,Bank Transfer,4
6,76.69,0.21,27.65,Online,Credit Card,1
5,44.21,0.29,11.91,Online,Bank Transfer,4
7,20.07,0.09,8.98,Online,paypall,5
45,10.469999999999999,0.38,25.98,In-store,paypall,0
47,20.21,0.03,21.81,Online,paypall,5
24,49.59,0.37,7.109999999999999,Online,paypall,5
35,26.84,0.3,14.47,In-store,paypall,0
29,86.01,0.09,7.07,Online,Credit Card,1
14,74.32,0.38,28.76,In-store,Credit Card,2
35,30.31,0.08000000000000002,6.059999999999999,In-store,Credit Card,2
4,47.54,0.03,8.07,In-store,Bank Transfer,3
18,63.78,0.2,13.67,Online,paypall,5
48,44.99,0.15,7.98,Online,paypall,5
22,79.66,0.3,6.699999999999999,In-store,Credit Card,2
40,59.5,0.21,19.09,In-store,paypall,0
30,60.15,0.36,15.3,In-store,Bank Transfer,3
42,6.700000000000003,0.19,17.74,In-store,Bank Transfer,3
43,79.64,0.45,27.67,Online,Credit Card,1
15,13.240000000000002,0.39,29.7,In-store,Bank Transfer,3
43,20.85,0.3,27.64,In-store,Bank Transfer,3
8,12.689999999999998,0.16,10.64,In-store,paypall,0
20,83.7,0.45,29.97,In-store,Credit Card,2
4,88.55,0.35,28.5,Online,Credit Card,1
1,97.76,0.4,29.28,In-store,Bank Transfer,3
18,17.39,0.41,22.2,Online,paypall,5
4,85.16,0.19,26.56,In-store,paypall,0
28,58.6,0.21,12.7,Online,Credit Card,1
7,90.33,0.15,15.55,Online,Bank Transfer,4
14,29.94,0.04999999999999999,18.71,In-store,paypall,0
40,28.45,0.38,27.06,In-store,paypall,0
38,80.74,0.04000000000000001,24.53,Online,paypall,5
17,25.52,0.06,15.36,In-store,paypall,0
39,8.170000000000002,0.46,7.32,In-store,Bank Transfer,3
6,44.62,0.19,11.54,In-store,Credit Card,2
26,60.87,0.49,29.8,In-store,paypall,0
41,70.95,0.35,19.59,In-store,Bank Transfer,3
4,14.990000000000002,0.33,5.17,Online,paypall,5
13,34.0,0.23,6.960000000000001,In-store,paypall,0
34,45.44,0.12,20.06,Online,paypall,5
46,10.520000000000003,0.32,5.84,In-store,Bank Transfer,3
18,74.28,0.1,20.97,In-store,paypall,0
24,64.47,0.45,10.030000000000001,In-store,Bank Transfer,3
30,53.55,0.25,19.88,Online,Credit Card,1
10,18.870000000000005,0.31,9.06,In-store,Bank Transfer,3
2,18.11,0.31,9.28,Online,paypall,5
43,20.929999999999996,0.22,6.02,Online,Credit Card,1
29,78.99,0.31,23.75,In-store,Credit Card,2
1,36.68,0.13,16.97,Online,paypall,5
17,38.12,0.43,17.87,In-store,paypall,0
22,36.17,0.3,23.22,Online,Bank Transfer,4
26,13.630000000000003,0.36,21.17,Online,paypall,5
10,85.27,0.21,9.91,In-store,Bank Transfer,3
8,57.33,0.43,11.85,Online,paypall,5
20,99.49,0.43,26.86,In-store,Bank Transfer,3
22,52.22,0.28,16.02,In-store,paypall,0
48,69.23,0.06,5.609999999999999,Online,Bank Transfer,4
24,81.18,0.28,21.57,In-store,Bank Transfer,3
22,81.86,0.22,8.31,Online,Credit Card,1
49,38.66,0.24,6.780000000000001,Online,paypall,5
28,15.630000000000003,0.38,18.47,Online,paypall,5
2,77.17,0.39,19.29,In-store,Credit Card,2
42,62.97,0.07,18.43,Online,paypall,5
37,17.880000000000003,0.32,6.309999999999999,In-store,Credit Card,2
4,50.17,0.1,6.109999999999999,Online,Credit Card,1
37,57.41,0.1,13.55,In-store,paypall,0
21,86.65,0.04000000000000001,28.08,Online,Bank Transfer,4
26,9.520000000000003,0.25,19.67,Online,Bank Transfer,4
15,17.020000000000003,0.26,21.73,Online,paypall,5
35,53.85,0.29,10.35,Online,paypall,5
47,5.530000000000001,0.10999999999999999,20.94,In-store,Credit Card,2
15,38.97,0.38,19.72,In-store,paypall,0
22,2.5600000000000023,0.10999999999999999,17.85,Online,Credit Card,1
1,26.49,0.34,23.13,In-store,paypall,0
10,29.31,0.07,7.77,Online,paypall,5
48,35.38,0.06,27.56,Online,Bank Transfer,4
1,89.37,0.13,8.0,Online,paypall,5
12,28.41,0.08000000000000002,11.15,Online,Bank Transfer,4
41,13.71,0.22,15.81,Online,Credit Card,1
24,6.939999999999998,0.38,9.969999999999999,Online,Bank Transfer,4
26,99.22,0.19,14.37,Online,paypall,5
43,10.509999999999998,0.16,15.78,In-store,Bank Transfer,3
2,36.79,0.27,6.59,In-store,paypall,0
19,23.45,0.46,17.12,Online,Bank Transfer,4
25,7.420000000000002,0.1,8.87,In-store,Bank Transfer,3
39,54.62,0.21,24.93,In-store,Bank Transfer,3
1,4.460000000000001,0.08000000000000002,28.32,Online,paypall,5
31,72.24,0.1,5.83,Online,Credit Card,1
4,60.43,0.10999999999999999,15.94,In-store,paypall,0
3,23.94,0.24,19.59,Online,Credit Card,1
36,49.64,0.42,16.39,Online,Bank Transfer,4
11,1.6599999999999966,0.49,27.35,In-store,Credit Card,2
19,54.66,0.47,21.01,Online,paypall,5
8,77.72,0.29,8.88,Online,Credit Card,1
42,6.770000000000003,0.43,29.15,Online,paypall,5
41,23.32,0.26,22.68,Online,paypall,5
20,62.74,0.3,6.09,Online,paypall,5
8,5.75,0.21,25.84,Online,Bank Transfer,4
18,81.72,0.01999999999999999,18.38,Online,Bank Transfer,4
45,33.12,0.38,23.83,Online,paypall,5
36,21.89,0.3,25.23,In-store,Bank Transfer,3
42,85.33,0.45,11.36,Online,Bank Transfer,4
32,65.78,0.04000000000000001,28.56,In-store,Bank Transfer,3
4,89.98,0.10999999999999999,18.79,Online,paypall,5
30,39.67,0.42,25.2,Online,Bank Transfer,4
11,98.0,0.5,28.98,In-store,Credit Card,2
42,95.54,0.46,28.49,In-store,Bank Transfer,3
19,57.43,0.43,10.65,Online,paypall,5
18,73.03,0.49,10.65,Online,Bank Transfer,4
45,37.86,0.1,9.98,Online,Bank Transfer,4
5,6.75,0.31,7.780000000000001,In-store,Credit Card,2
43,33.67,0.37,5.690000000000001,Online,paypall,5
38,26.46,0.19,27.54,Online,paypall,5
19,14.310000000000002,0.25,7.870000000000001,Online,Bank Transfer,4
20,49.04,0.04000000000000001,22.13,In-store,paypall,0
2,93.45,0.2,9.68,In-store,Credit Card,2
19,88.51,0.48,26.57,In-store,Credit Card,2
37,28.9,0.17,13.69,In-store,Credit Card,2
43,99.98,0.08000000000000002,25.28,In-store,paypall,0
11,91.13,0.45,29.4,Online,Credit Card,1
13,10.29,0.04999999999999999,12.01,Online,paypall,5
20,25.01,0.1,7.52,In-store,Bank Transfer,3
42,33.58,0.49,27.09,Online,Bank Transfer,4
42,23.12,0.34,19.39,In-store,paypall,0
2,14.96,0.17,17.25,Online,Credit Card,1
8,40.76,0.33,10.95,In-store,Credit Card,2
45,59.5,0.38,15.3,Online,paypall,5
7,76.65,0.13,26.96,In-store,Credit Card,2
4,89.81,0.31,20.4,In-store,Bank Transfer,3
48,38.07,0.37,19.41,In-store,paypall,0
2,63.59,0.03,5.6,In-store,paypall,0
23,48.11,0.36,13.09,In-store,Credit Card,2
1,70.03,0.42,27.41,Online,Credit Card,1
49,73.46,0.27,26.14,In-store,Bank Transfer,3
5,2.780000000000001,0.45,19.54,Online,Bank Transfer,4
32,69.65,0.18,8.28,In-store,Credit Card,2
19,5.920000000000002,0.48,27.23,Online,Bank Transfer,4
31,23.43,0.31,21.54,Online,Bank Transfer,4
4,29.77,0.33,28.88,Online,Credit Card,1
7,60.7,0.46,27.71,Online,paypall,5
33,48.31,0.46,17.82,In-store,paypall,0
6,60.25,0.45,17.49,Online,Credit Card,1
34,96.47,0.24,10.87,Online,Bank Transfer,4
15,65.0,0.32,12.74,In-store,Bank Transfer,3
28,71.78,0.01999999999999999,29.01,Online,paypall,5
16,35.23,0.08000000000000002,6.34,Online,Bank Transfer,4
21,43.84,0.33,26.21,Online,Bank Transfer,4
22,14.399999999999999,0.21,22.87,In-store,Bank Transfer,3
33,34.78,0.38,6.789999999999999,Online,paypall,5
35,8.579999999999998,0.10999999999999999,16.74,Online,Credit Card,1
25,37.79,0.24,14.02,Online,Credit Card,1
40,73.8,0.33,16.38,Online,Bank Transfer,4
26,70.16,0.29,16.03,Online,paypall,5
19,57.33,0.17,14.33,Online,Credit Card,1
20,48.45,0.15,10.62,Online,paypall,5
30,82.62,0.010000000000000009,23.83,In-store,Credit Card,2
47,99.29,0.010000000000000009,29.26,In-store,Credit Card,2
36,2.780000000000001,0.13,26.77,In-store,Credit Card,2
20,11.79,0.44,7.49,In-store,paypall,0
41,36.66,0.0,15.4,Online,Credit Card,1
45,63.79,0.15,24.98,Online,Bank Transfer,4
22,63.28,0.23,23.39,In-store,Credit Card,2
37,86.73,0.34,20.53,Online,Bank Transfer,4
27,54.06,0.23,13.61,Online,Bank Transfer,4
32,25.41,0.36,18.24,In-store,Bank Transfer,3
46,15.649999999999999,0.22,20.66,In-store,paypall,0
22,50.02,0.37,7.449999999999999,In-store,Bank Transfer,3
8,97.94,0.10999999999999999,9.64,In-store,Credit Card,2
12,60.08,0.09,7.120000000000001,Online,Bank Transfer,4
25,9.670000000000002,0.04999999999999999,8.52,Online,Credit Card,1
18,5.619999999999997,0.27,29.57,In-store,paypall,0
1,70.12,0.08000000000000002,22.67,Online,Credit Card,1
32,70.58,0.04999999999999999,29.65,In-store,paypall,0
46,60.27,0.32,11.21,In-store,paypall,0
2,71.03,0.09,10.09,In-store,Bank Transfer,3
36,26.85,0.25,23.51,Online,Bank Transfer,4
46,46.85,0.22,24.77,Online,Credit Card,1
22,55.49,0.21,25.58,Online,Credit Card,1
16,10.259999999999998,0.08000000000000002,29.4,In-store,Bank Transfer,3
48,93.11,0.23,9.65,In-store,Credit Card,2
28,69.36,0.48,27.99,Online,paypall,5
48,87.15,0.4,16.42,In-store,paypall,0
36,13.43,0.01999999999999999,19.32,Online,Credit Card,1
16,46.69,0.07,27.86,In-store,Credit Card,2
35,83.56,0.09,13.83,Online,Bank Transfer,4
33,71.8,0.04000000000000001,27.06,Online,Credit Card,1
25,58.22,0.33,17.18,In-store,paypall,0
39,2.240000000000002,0.01999999999999999,13.49,In-store,paypall,0
12,55.08,0.5,10.01,Online,paypall,5
16,34.16,0.25,28.21,Online,paypall,5
36,5.060000000000002,0.24,7.91,Online,Bank Transfer,4
33,28.54,0.08000000000000002,6.33,In-store,Credit Card,2
48,78.35,0.1,24.85,In-store,Bank Transfer,3
36,41.73,0.46,8.52,Online,paypall,5
36,10.530000000000001,0.22,23.27,In-store,paypall,0
49,91.7,0.34,17.63,Online,Credit Card,1
28,7.729999999999997,0.12,10.99,Online,Credit Card,1
34,32.73,0.19,24.42,Online,paypall,5
16,17.22,0.03,11.63,In-store,Credit Card,2
29,25.96,0.46,22.85,Online,paypall,5
29,65.67,0.33,24.03,In-store,paypall,0
24,5.32,0.0,21.83,Online,paypall,5
23,38.77,0.3,6.859999999999999,In-store,Credit Card,2
4,42.04,0.41,8.0,Online,Credit Card,1
23,46.85,0.24,20.14,In-store,Credit Card,2
22,83.39,0.09,18.69,Online,paypall,5
27,16.64,0.39,28.79,Online,Credit Card,1
30,60.56,0.39,27.65,In-store,paypall,0
22,25.85,0.03,26.12,Online,paypall,5
6,51.55,0.25,19.65,Online,Bank Transfer,4
27,27.61,0.41,20.05,In-store,Credit Card,2
22,25.46,0.12,8.93,Online,Credit Card,1
24,51.24,0.19,29.51,Online,paypall,5
33,77.92,0.10999999999999999,24.4,In-store,Credit Card,2
30,43.82,0.31,28.81,In-store,paypall,0
22,30.9,0.43,13.21,In-store,Credit Card,2
7,53.72,0.26,27.29,In-store,Credit Card,2
8,83.09,0.15,5.34,In-store,paypall,0
32,11.579999999999998,0.010000000000000009,26.74,In-store,Credit Card,2
17,51.82,0.33,21.91,Online,Bank Transfer,4
22,46.94,0.46,22.41,In-store,Credit Card,2
26,97.01,0.41,7.83,Online,Credit Card,1
32,35.96,0.08000000000000002,9.52,Online,paypall,5
29,41.44,0.21,11.55,In-store,Credit Card,2
37,14.339999999999996,0.37,21.99,Online,Credit Card,1
36,88.77,0.09,29.01,In-store,paypall,0
46,98.05,0.3,19.28,Online,paypall,5
42,16.6,0.21,12.21,Online,Bank Transfer,4
10,94.97,0.1,6.73,Online,Credit Card,1
23,1.8100000000000023,0.13,14.29,In-store,Credit Card,2
5,73.95,0.01999999999999999,10.3,Online,Credit Card,1
11,65.22,0.19,16.54,Online,paypall,5
12,7.149999999999999,0.46,22.0,Online,Credit Card,1
20,5.009999999999998,0.28,14.79,In-store,paypall,0
10,6.710000000000001,0.41,13.66,Online,Bank Transfer,4
12,54.39,0.08000000000000002,23.14,Online,paypall,5
42,78.66,0.35,16.62,In-store,paypall,0
25,81.71,0.44,25.36,In-store,Credit Card,2
8,68.94,0.38,18.54,In-store,paypall,0
20,95.02,0.33,15.26,Online,paypall,5
10,4.390000000000001,0.23,28.81,In-store,Credit Card,2
48,46.02,0.14,11.94,In-store,Credit Card,2
47,78.19,0.0,6.460000000000001,In-store,Credit Card,2
30,36.57,0.18,22.62,Online,paypall,5
12,40.9,0.32,6.99,Online,paypall,5
8,69.09,0.5,29.02,Online,paypall,5
23,32.94,0.04000000000000001,19.27,Online,Credit Card,1
17,96.01,0.21,12.52,In-store,Credit Card,2
4,35.08,0.41,11.88,In-store,Credit Card,2
1,56.18,0.43,22.67,Online,Bank Transfer,4
37,4.130000000000003,0.32,28.19,Online,paypall,5
39,35.68,0.39,11.66,In-store,Credit Card,2
8,6.359999999999999,0.15,18.93,In-store,Credit Card,2
33,87.34,0.48,8.76,In-store,paypall,0
37,82.4,0.04999999999999999,17.68,In-store,Bank Transfer,3
39,26.77,0.49,5.33,In-store,Bank Transfer,3
35,99.58,0.26,16.13,In-store,Credit Card,2
25,50.32,0.48,24.08,Online,Bank Transfer,4
29,20.19,0.04000000000000001,26.25,Online,Bank Transfer,4
40,29.23,0.24,19.9,In-store,Credit Card,2
28,31.89,0.09,27.1,In-store,Credit Card,2
35,16.29,0.28,25.68,In-store,Bank Transfer,3
48,53.78,0.47,20.28,In-store,Credit Card,2
3,21.89,0.38,23.31,Online,Bank Transfer,4
2,9.43,0.29,10.1,Online,Bank Transfer,4
16,99.83,0.01999999999999999,17.35,In-store,Credit Card,2
